1.0 std,2.5 std,10 std,Fire,DateTime
4,9,9,0,2024-06-29 13:02:27
4,7,9,0,2024-06-29 13:02:51
3,6,7,0,2024-06-29 13:03:08
3,9,9,0,2024-06-29 13:03:25
3,10,10,0,2024-06-29 13:03:42
4,10,10,0,2024-06-29 13:03:59
4,10,12,0,2024-06-29 13:04:17
4,12,12,0,2024-06-29 13:04:34
6,12,12,0,2024-06-29 13:04:51
6,10,10,0,2024-06-29 13:05:08
6,10,10,0,2024-06-29 13:05:25
6,10,10,0,2024-06-29 13:05:44
6,12,12,0,2024-06-29 13:06:02
4,9,9,0,2024-06-29 13:06:27
4,7,7,0,2024-06-29 13:06:44
4,9,9,0,2024-06-29 13:07:01
4,9,9,0,2024-06-29 13:07:18
4,10,10,0,2024-06-29 13:07:35
4,12,12,0,2024-06-29 13:07:52
6,12,12,0,2024-06-29 13:08:09
4,10,10,0,2024-06-29 13:08:27
4,9,9,0,2024-06-29 13:08:44
6,7,7,0,2024-06-29 13:09:01
6,10,10,0,2024-06-29 13:09:18
6,10,10,0,2024-06-29 13:10:00
6,9,9,0,2024-06-29 13:10:17
6,10,10,0,2024-06-29 13:10:35
4,10,10,0,2024-06-29 13:11:16
4,7,7,0,2024-06-29 13:11:33
4,9,10,0,2024-06-29 13:11:50
4,10,10,0,2024-06-29 13:12:07
6,9,10,0,2024-06-29 13:12:24
6,9,10,0,2024-06-29 13:12:41
6,10,13,0,2024-06-29 13:12:59
6,9,12,0,2024-06-29 13:13:18
4,9,10,0,2024-06-29 13:13:35
6,12,12,0,2024-06-29 13:13:52
4,12,12,0,2024-06-29 13:14:09
4,13,13,0,2024-06-29 13:14:50
3,9,10,0,2024-06-29 13:15:08
3,7,9,0,2024-06-29 13:15:25
3,7,9,0,2024-06-29 13:15:42
3,7,9,0,2024-06-29 13:15:59
3,7,9,0,2024-06-29 13:16:16
3,7,9,0,2024-06-29 13:16:33
3,7,7,0,2024-06-29 13:16:57
4,9,12,0,2024-06-29 13:17:16
4,7,10,0,2024-06-29 13:17:35
3,9,10,0,2024-06-29 13:17:52
3,10,10,0,2024-06-29 13:18:09
4,9,10,0,2024-06-29 13:18:26
